"id","name","city","image_url","address","latitude","longitude"
8,"Angry Inch Brewing","Lakeville","/stock-photo12.jpg","20841 Holyoke Ave",44.64765,-93.24301
23,"Bemidji Brewing Company","Bemidji","/stock-photo11.jpg","211 America Ave NW",47.46992,-94.884605
25,"Bent Brewstillery","Roseville","/stock-photo4.jpg","1744 Terrace Dr",45.024532,-93.1738
26,"Bent Paddle Brewing Co","Duluth","/stock-photo3.jpg","1912 W Michigan St",46.768436,-92.120766
34,"Boathouse Brewery LLC","Ely","/stock-photo5.jpg","47 E Sheridan St",47.9035,-91.86566
9,"Arbeiter Brewing Company","Minneapolis","/stock-photo2.jpg","3038 Minnehaha Ave",44.947178,-93.23387
48,"Copper Trail Brewing Co.","Alexandria","/stock-photo6.jpg","410 30th Ave E Ste 103",45.864464,-95.37158
14,"Bad Weather Brewing LLC","Saint Paul","/stock-photo3.jpg","414 7th St W",44.938576,-93.10995
7,"Alloy Brewing Company","Coon Rapids","/stock-photo12.jpg","2700 Coon Rapids Blvd NW",45.169567,-93.33665
15,"Badger Hill Brewing","Shakopee","/stock-photo3.jpg","4571 Valley Industrial Blvd S Ste 500",44.794003,-93.4607
17,"Bang Brewing","Saint Paul","/stock-photo7.jpg","2320 Capp Rd",44.970497,-93.1926
27,"Big Axe Brewing Company","Nisswa","/stock-photo1.jpg","25435 Main St",46.519947,-94.289116
28,"Big Wood Brewery","White Bear Lake","/stock-photo7.jpg","2222 4th St Ste REAR",45.0853,-93.00681
30,"Birch's On the Lake","Long Lake","/stock-photo6.jpg","1310 Wayzata Blvd",44.98534,-93.5562
31,"Blacklist Artisan Ales","Duluth","/stock-photo9.jpg","120 E Superior St",46.788273,-92.095924
